Ticker,Year,Life_Cycle_Stage,Operating_CF,Investing_CF,Financing_CF
SONY,2023,Data Missing,,,
SONY,2024,Data Missing,,,
TXN,2020,Maturity,6139000000.0,-922000000.0,-4547000000.0
TXN,2021,Maturity,8756000000.0,-4095000000.0,-3137000000.0
TXN,2022,Maturity,8720000000.0,-3583000000.0,-6718000000.0
TXN,2023,Maturity,6420000000.0,-4362000000.0,-2144000000.0
TXN,2024,Maturity,6318000000.0,-3202000000.0,-2880000000.0
ADP,2020,Shake-out,3026200000.0,3156300000.0,-5890600000.0
ADP,2021,Growth,3093300000.0,-3515000000.0,6437500000.0
ADP,2022,Growth,3099500000.0,-7014400000.0,13653400000.0
ADP,2023,Maturity,4207600000.0,-2517300000.0,-15680700000.0
ADP,2024,Maturity,4157600000.0,-1389000000.0,-1431700000.0
FI,2020,Maturity,4147000000.0,-341000000.0,-3431000000.0
FI,2021,Maturity,4034000000.0,-1630000000.0,-1741000000.0
FI,2022,Maturity,4618000000.0,-2112000000.0,-2478000000.0
FI,2023,Maturity,5162000000.0,-1068000000.0,-4356000000.0
FI,2024,Maturity,6631000000.0,-2404000000.0,-4165000000.0
AMAT,2020,Maturity,3804000000.0,-130000000.0,-1337000000.0
AMAT,2021,Maturity,5442000000.0,-1216000000.0,-4591000000.0
AMAT,2022,Maturity,5399000000.0,-1357000000.0,-7043000000.0
AMAT,2023,Maturity,8700000000.0,-1535000000.0,-3032000000.0
AMAT,2024,Maturity,8677000000.0,-2327000000.0,-4470000000.0
PANW,2020,Shake-out,1035700000.0,288000000.0,673000000.0
PANW,2021,Maturity,1503000000.0,-1480600000.0,-1104000000.0
PANW,2022,Maturity,1984700000.0,-933400000.0,-806600000.0
PANW,2023,Maturity,2777500000.0,-2033800000.0,-1726300000.0
PANW,2024,Maturity,3257600000.0,-1509900000.0,-1343100000.0
ARM,2020,Data Missing,,,
ARM,2021,Data Missing,,,
ARM,2022,Data Missing,,,
ARM,2023,Data Missing,,,
ARM,2024,Data Missing,,,
SHOP,2020,Data Missing,,,
SHOP,2021,Data Missing,,,
SHOP,2022,Introduction,-136000000.0,-719000000.0,18000000.0
SHOP,2023,Growth,944000000.0,-1244000000.0,60000000.0
SHOP,2024,Growth,1616000000.0,-1586000000.0,61000000.0
CRWD,2020,Growth,99943000.0,-629631000.0,706144000.0
CRWD,2021,Shake-out,356566000.0,495427000.0,800135000.0
CRWD,2022,Growth,574784000.0,-564516000.0,72531000.0
CRWD,2023,Growth,941007000.0,-556658000.0,77437000.0
CRWD,2024,Growth,1166207000.0,-340650000.0,93158000.0
ANET,2020,Maturity,735114000.0,-608802000.0,-346339000.0
ANET,2021,Maturity,1015856000.0,-925562000.0,-360882000.0
ANET,2022,Shake-out,492813000.0,216327000.0,-654601000.0
ANET,2023,Maturity,2034014000.0,-687454000.0,-83749000.0
ANET,2024,Maturity,3708235000.0,-2457354000.0,-421810000.0
KLAC,2020,Maturity,1778850000.0,-258874000.0,-1299635000.0
KLAC,2021,Maturity,2185026000.0,-500404000.0,-1497881000.0
KLAC,2022,Maturity,3312702000.0,-876458000.0,-2257005000.0
KLAC,2023,Maturity,3669805000.0,-482571000.0,-2830289000.0
KLAC,2024,Maturity,3308575000.0,-1476985000.0,-1776017000.0
ADI,2020,Maturity,2008487000.0,-180523000.0,-1420608000.0
ADI,2021,Shake-out,2735069000.0,2143525000.0,-3959664000.0
ADI,2022,Maturity,4475402000.0,-657368000.0,-4290720000.0
ADI,2023,Maturity,4817634000.0,-1266385000.0,-4063760000.0
ADI,2024,Maturity,3852529000.0,-1104858000.0,-1714390000.0
LRCX,2020,Maturity,2126451000.0,-244084000.0,-623930000.0
LRCX,2021,Shake-out,3588163000.0,73271000.0,-4166982000.0
LRCX,2022,Shake-out,3099674000.0,612275000.0,-4578937000.0
LRCX,2023,Maturity,5178938000.0,-534562000.0,-2830667000.0
LRCX,2024,Maturity,4652269000.0,-370614000.0,-3995850000.0
INTC,2020,Maturity,35864000000.0,-21524000000.0,-12669000000.0
INTC,2021,Maturity,29456000000.0,-24283000000.0,-6211000000.0
INTC,2022,Growth,15433000000.0,-10231000000.0,1115000000.0
INTC,2023,Growth,11471000000.0,-24041000000.0,8505000000.0
INTC,2024,Growth,8288000000.0,-18256000000.0,11138000000.0
APP,2020,Growth,222883000.0,-679891000.0,377855000.0
APP,2021,Growth,361851000.0,-1214930000.0,3109546000.0
APP,2022,Maturity,412773000.0,-1371468000.0,-526848000.0
APP,2023,Maturity,1061510000.0,-77829000.0,-1562791000.0
APP,2024,Maturity,2099011000.0,-106754000.0,-1749844000.0
MSTR,2020,Growth,53619000.0,-1018693000.0,563233000.0
MSTR,2021,Growth,93833000.0,-2629235000.0,2541685000.0
MSTR,2022,Growth,3211000.0,-278590000.0,265188000.0
MSTR,2023,Growth,12712000.0,-1905237000.0,1889886000.0
MSTR,2024,Introduction,-53032000.0,-22086237000.0,22132641000.0
APH,2020,Maturity,1592000000.0,-333500000.0,-516600000.0
APH,2021,Maturity,1540100000.0,-1887500000.0,-145200000.0
APH,2022,Maturity,2174600000.0,-731100000.0,-1196700000.0
APH,2023,Maturity,2528700000.0,-1393700000.0,-1012400000.0
APH,2024,Growth,2814700000.0,-2648600000.0,1729900000.0
MU,2020,Maturity,8306000000.0,-7589000000.0,-317000000.0
MU,2021,Maturity,12468000000.0,-10589000000.0,-1781000000.0
MU,2022,Maturity,15181000000.0,-11585000000.0,-2980000000.0
MU,2023,Growth,1559000000.0,-6191000000.0,4983000000.0
MU,2024,Maturity,8507000000.0,-8309000000.0,-1842000000.0
FTNT,2020,Maturity,1083700000.0,-72800000.0,-1171600000.0
FTNT,2021,Growth,1499700000.0,-1325100000.0,82800000.0
FTNT,2022,Shake-out,1730600000.0,763900000.0,-2130300000.0
FTNT,2023,Maturity,1935500000.0,-649300000.0,-1570400000.0
FTNT,2024,Maturity,2258100000.0,-727400000.0,-50100000.0
CDNS,2020,Data Missing,,,
CDNS,2021,Maturity,904922000.0,-292158000.0,-415289000.0
CDNS,2022,Maturity,1241894000.0,-738634000.0,-657049000.0
CDNS,2023,Maturity,1349176000.0,-412249000.0,-803573000.0
CDNS,2024,Growth,1260551000.0,-837118000.0,1239241000.0
MSI,2020,Maturity,1613000000.0,-437000000.0,-966000000.0
MSI,2021,Maturity,1837000000.0,-742000000.0,-429000000.0
MSI,2022,Maturity,1823000000.0,-1387000000.0,-906000000.0
MSI,2023,Maturity,2044000000.0,-414000000.0,-1295000000.0
MSI,2024,Maturity,2391000000.0,-507000000.0,-1448000000.0
SNPS,2020,Maturity,991313000.0,-360418000.0,-140606000.0
SNPS,2021,Maturity,1492622000.0,-549030000.0,-748748000.0
SNPS,2022,Maturity,1738900000.0,-572623000.0,-1116300000.0
SNPS,2023,Maturity,1703274000.0,-482101000.0,-1196871000.0
SNPS,2024,Shake-out,1407029000.0,1223013000.0,-181297000.0
WDAY,2020,Growth,864598000.0,-896922000.0,125124000.0
WDAY,2021,Growth,1268441000.0,-1241624000.0,625049000.0
WDAY,2022,Growth,1651000000.0,-1607000000.0,110000000.0
WDAY,2023,Growth,1657000000.0,-2506000000.0,1204000000.0
WDAY,2024,Maturity,2149000000.0,-1751000000.0,-268000000.0
ROP,2020,Growth,1525100000.0,-6073900000.0,4136900000.0
ROP,2021,Maturity,2011900000.0,-142900000.0,-1813500000.0
ROP,2022,Shake-out,734600000.0,1209500000.0,-1465300000.0
ROP,2023,Maturity,2035100000.0,-2126300000.0,-499500000.0
ROP,2024,Growth,2393200000.0,-3468500000.0,1069500000.0
DELL,2020,Maturity,9291000000.0,-4686000000.0,-4604000000.0
DELL,2021,Maturity,11407000000.0,-460000000.0,-5950000000.0
DELL,2022,Shake-out,10307000000.0,1306000000.0,-16609000000.0
DELL,2023,Maturity,3565000000.0,-3024000000.0,-1625000000.0
DELL,2024,Maturity,8676000000.0,-2783000000.0,-7094000000.0
ADSK,2020,Maturity,1415100000.0,-57300000.0,-466800000.0
ADSK,2021,Maturity,1437000000.0,-404000000.0,-1047000000.0
ADSK,2022,Maturity,1531000000.0,-1595000000.0,-169000000.0
ADSK,2023,Maturity,2071000000.0,-143000000.0,-1487000000.0
ADSK,2024,Maturity,1313000000.0,-502000000.0,-852000000.0
TEAM,2020,Data Missing,,,
TEAM,2021,Shake-out,789960000.0,259262000.0,-1603433000.0
TEAM,2022,Shake-out,821044000.0,36516000.0,-399280000.0
TEAM,2023,Maturity,868111000.0,-1258000.0,-148421000.0
TEAM,2024,Maturity,1448159000.0,-963746000.0,-408217000.0
PAYX,2020,Shake-out,1440900000.0,771900000.0,-1488200000.0
PAYX,2021,Maturity,1260300000.0,-460600000.0,-636400000.0
PAYX,2022,Maturity,1589700000.0,-1505100000.0,-979300000.0
PAYX,2023,Shake-out,1706200000.0,211700000.0,-711400000.0
PAYX,2024,Maturity,1897700000.0,-260900000.0,-1874700000.0
SNOW,2020,Decline,-176558000.0,138495000.0,57469000.0
SNOW,2021,Introduction,-45417000.0,-4036645000.0,4775290000.0
SNOW,2022,Growth,110179000.0,-20800000.0,178198000.0
SNOW,2023,Maturity,545639000.0,-597885000.0,-92624000.0
SNOW,2024,Shake-out,848122000.0,832258000.0,-854103000.0
FICO,2020,Maturity,364916000.0,-24583000.0,-289424000.0
FICO,2021,Shake-out,423817000.0,137850000.0,-523571000.0
FICO,2022,Maturity,509450000.0,-5671000.0,-547165000.0
FICO,2023,Maturity,468915000.0,-15954000.0,-455001000.0
FICO,2024,Maturity,632964000.0,-27993000.0,-592923000.0
MRVL,2020,Shake-out,360297000.0,558846000.0,-853949000.0
MRVL,2021,Maturity,817300000.0,-119600000.0,-596800000.0
MRVL,2022,Growth,819300000.0,-3745100000.0,2790800000.0
MRVL,2023,Maturity,1288800000.0,-328400000.0,-662900000.0
MRVL,2024,Maturity,1370500000.0,-350500000.0,-980200000.0
NXPI,2020,Maturity,2482000000.0,-418000000.0,-835000000.0
NXPI,2021,Maturity,3077000000.0,-934000000.0,-1585000000.0
NXPI,2022,Maturity,3895000000.0,-1249000000.0,-1619000000.0
NXPI,2023,Maturity,3513000000.0,-1508000000.0,-1990000000.0
NXPI,2024,Maturity,2782000000.0,-686000000.0,-2662000000.0
TEL,2020,Maturity,1992000000.0,-865000000.0,-1105000000.0
TEL,2021,Maturity,2676000000.0,-1037000000.0,-1386000000.0
TEL,2022,Maturity,2468000000.0,-878000000.0,-1684000000.0
TEL,2023,Maturity,3132000000.0,-768000000.0,-1793000000.0
TEL,2024,Maturity,3477000000.0,-950000000.0,-2869000000.0
NET,2020,Introduction,-17129000.0,-515273000.0,504912000.0
NET,2021,Growth,64648000.0,-709322000.0,847486000.0
NET,2022,Growth,123595000.0,-235696000.0,6347000.0
NET,2023,Maturity,254406000.0,-186201000.0,-192185000.0
NET,2024,Growth,380429000.0,-330224000.0,12785000.0
FIS,2020,Maturity,4442000000.0,-914000000.0,-2751000000.0
FIS,2021,Maturity,4810000000.0,-1771000000.0,-2538000000.0
FIS,2022,Maturity,3939000000.0,-373000000.0,-2573000000.0
FIS,2023,Maturity,4335000000.0,-1352000000.0,-3493000000.0
FIS,2024,Data Missing,,,
GRMN,2020,Maturity,1135267000.0,-260524000.0,-461760000.0
GRMN,2021,Maturity,1012427000.0,-475369000.0,-486709000.0
GRMN,2022,Maturity,788259000.0,-145124000.0,-840617000.0
GRMN,2023,Maturity,1376265000.0,-332972000.0,-636509000.0
GRMN,2024,Maturity,1432471000.0,-393333000.0,-626857000.0
GLW,2020,Maturity,2180000000.0,-1310000000.0,-729000000.0
GLW,2021,Maturity,3412000000.0,-1419000000.0,-2452000000.0
GLW,2022,Maturity,2615000000.0,-1355000000.0,-1649000000.0
GLW,2023,Maturity,2005000000.0,-1000000000.0,-883000000.0
GLW,2024,Maturity,1939000000.0,-744000000.0,-1164000000.0
CTSH,2020,Maturity,3299000000.0,-1238000000.0,-2009000000.0
CTSH,2021,Maturity,2495000000.0,-2164000000.0,-1203000000.0
CTSH,2022,Maturity,2568000000.0,-106000000.0,-1939000000.0
CTSH,2023,Maturity,2330000000.0,-331000000.0,-1609000000.0
CTSH,2024,Maturity,2124000000.0,-1646000000.0,-915000000.0
XYZ,2020,Growth,173110000.0,-606636000.0,3676735000.0
XYZ,2021,Growth,847830000.0,-1310879000.0,2652034000.0
XYZ,2022,Shake-out,175903000.0,1225696000.0,97580000.0
XYZ,2023,Shake-out,100961000.0,683201000.0,-240137000.0
XYZ,2024,Shake-out,1707350000.0,649952000.0,1952662000.0
DDOG,2020,Growth,109091000.0,-1152624000.0,670276000.0
DDOG,2021,Growth,286545000.0,-273740000.0,34940000.0
DDOG,2022,Growth,418407000.0,-384670000.0,36023000.0
DDOG,2023,Growth,659954000.0,-731365000.0,58279000.0
DDOG,2024,Growth,870603000.0,-736840000.0,787083000.0
ZS,2020,Growth,79317000.0,-1038162000.0,1022212000.0
ZS,2021,Growth,202040000.0,-109668000.0,41675000.0
ZS,2022,Shake-out,321912000.0,374063000.0,41337000.0
ZS,2023,Growth,462343000.0,-259337000.0,45990000.0
ZS,2024,Growth,779846000.0,-683180000.0,64208000.0
IT,2020,Maturity,903278000.0,-83888000.0,-416224000.0
IT,2021,Maturity,1312470000.0,-80467000.0,-1157609000.0
IT,2022,Maturity,1101422000.0,-117558000.0,-1027442000.0
IT,2023,Shake-out,1155737000.0,54157000.0,-588881000.0
IT,2024,Maturity,1484922000.0,-103737000.0,-710143000.0
HUBS,2020,Growth,88913000.0,-215567000.0,222460000.0
HUBS,2021,Maturity,238728000.0,-179508000.0,-51469000.0
HUBS,2022,Growth,273174000.0,-319658000.0,7428000.0
HUBS,2023,Growth,350971000.0,-334766000.0,37011000.0
HUBS,2024,Growth,598599000.0,-515861000.0,53495000.0
BR,2020,Growth,598200000.0,-441700000.0,51200000.0
BR,2021,Growth,640100000.0,-2653700000.0,1797800000.0
BR,2022,Maturity,443500000.0,-110400000.0,-370800000.0
BR,2023,Maturity,823300000.0,-80400000.0,-714700000.0
BR,2024,Maturity,1056200000.0,-148000000.0,-855500000.0
ANSS,2020,Growth,547310000.0,-614253000.0,96597000.0
ANSS,2021,Maturity,549482000.0,-536813000.0,-245852000.0
ANSS,2022,Maturity,631003000.0,-411368000.0,-245508000.0
ANSS,2023,Maturity,717122000.0,-240042000.0,-231319000.0
ANSS,2024,Maturity,795740000.0,-99562000.0,-98544000.0
MPWR,2020,Maturity,267803000.0,-39177000.0,-71557000.0
MPWR,2021,Maturity,320010000.0,-378886000.0,-90206000.0
MPWR,2022,Maturity,246674000.0,-12510000.0,-128785000.0
MPWR,2023,Maturity,638213000.0,-178726000.0,-183725000.0
MPWR,2024,Shake-out,788410000.0,223047000.0,-872227000.0
ERIC,2020,Data Missing,,,
ERIC,2021,Data Missing,,,
ERIC,2022,Data Missing,,,
ERIC,2023,Data Missing,,,
ERIC,2024,Data Missing,,,
TYL,2020,Growth,355089000.0,-98320000.0,114172000.0
TYL,2021,Growth,371753000.0,-2090935000.0,1424730000.0
TYL,2022,Maturity,381455000.0,-172530000.0,-344239000.0
TYL,2023,Maturity,380440000.0,-76960000.0,-311844000.0
TYL,2024,Growth,624633000.0,-67612000.0,22207000.0
GDDY,2020,Maturity,764600000.0,-482300000.0,-581700000.0
GDDY,2021,Growth,829300000.0,-635600000.0,298100000.0
GDDY,2022,Maturity,979700000.0,-132000000.0,-1326700000.0
GDDY,2023,Maturity,1047600000.0,-102400000.0,-1261700000.0
GDDY,2024,Shake-out,1287700000.0,21500000.0,-677400000.0
CHKP,2020,Data Missing,,,
CHKP,2021,Data Missing,,,
CHKP,2022,Data Missing,,,
CHKP,2023,Data Missing,,,
CHKP,2024,Data Missing,,,
TTD,2020,Growth,405069000.0,-143271000.0,44679000.0
TTD,2021,Growth,378513000.0,-93638000.0,31926000.0
TTD,2022,Growth,548734000.0,-304374000.0,31992000.0
TTD,2023,Maturity,598322000.0,-107593000.0,-626106000.0
TTD,2024,Maturity,739456000.0,-157513000.0,-107609000.0
VRSN,2020,Maturity,730200000.0,-72300000.0,-764900000.0
VRSN,2021,Maturity,807200000.0,-269200000.0,-719100000.0
VRSN,2022,Shake-out,831100000.0,355700000.0,-1035800000.0
VRSN,2023,Maturity,853800000.0,-97400000.0,-889800000.0
VRSN,2024,Shake-out,902600000.0,286300000.0,-1221500000.0
KEYS,2020,Maturity,1016000000.0,-442000000.0,-413000000.0
KEYS,2021,Maturity,1322000000.0,-353000000.0,-671000000.0
KEYS,2022,Maturity,1144000000.0,-251000000.0,-861000000.0
KEYS,2023,Maturity,1408000000.0,-288000000.0,-687000000.0
KEYS,2024,Maturity,1052000000.0,-819000000.0,-913000000.0
HPQ,2020,Maturity,4316000000.0,-1016000000.0,-2973000000.0
HPQ,2021,Maturity,6409000000.0,-1012000000.0,-5962000000.0
HPQ,2022,Maturity,4463000000.0,-3549000000.0,-2068000000.0
HPQ,2023,Maturity,3571000000.0,-590000000.0,-2894000000.0
HPQ,2024,Maturity,3749000000.0,-646000000.0,-3082000000.0
FTV,2020,Maturity,1436700000.0,-148400000.0,-696100000.0
FTV,2021,Growth,961100000.0,-2615600000.0,652000000.0
FTV,2022,Maturity,1303200000.0,-102500000.0,-1273000000.0
FTV,2023,Growth,1353600000.0,-195400000.0,32300000.0
FTV,2024,Maturity,1526800000.0,-1796000000.0,-792700000.0
ZM,2020,Growth,151892000.0,-499468000.0,615690000.0
ZM,2021,Growth,1471177000.0,-1562420000.0,2050277000.0
ZM,2022,Growth,1605266000.0,-2859097000.0,34068000.0
ZM,2023,Maturity,1290262000.0,-318322000.0,-936942000.0
ZM,2024,Growth,1598836000.0,-1183689000.0,60186000.0
TDY,2020,Data Missing,,,
TDY,2021,Maturity,618900000.0,-99400000.0,-61800000.0
TDY,2022,Growth,824600000.0,-3824300000.0,2807100000.0
TDY,2023,Maturity,836100000.0,-190300000.0,-651500000.0
TDY,2024,Maturity,1191900000.0,-207200000.0,-945800000.0
CPAY,2020,Maturity,1472589000.0,-106249000.0,-1416801000.0
CPAY,2021,Growth,1197063000.0,-715931000.0,343928000.0
CPAY,2022,Maturity,754797000.0,-368345000.0,-311228000.0
CPAY,2023,Maturity,2101132000.0,-380723000.0,-898211000.0
CPAY,2024,Growth,1940565000.0,-807477000.0,404989000.0
IOT,2020,Data Missing,,,
IOT,2021,Introduction,-171769000.0,-32202000.0,401974000.0
IOT,2022,Introduction,-171481000.0,-20035000.0,701644000.0
IOT,2023,Introduction,-103021000.0,-631848000.0,14212000.0
IOT,2024,Introduction,-11815000.0,-78687000.0,20997000.0
MCHP,2020,Maturity,1543800000.0,-133200000.0,-1438200000.0
MCHP,2021,Maturity,1916500000.0,-173300000.0,-1864200000.0
MCHP,2022,Maturity,2842700000.0,-477700000.0,-2327600000.0
MCHP,2023,Maturity,3621000000.0,-599500000.0,-3104900000.0
MCHP,2024,Maturity,2892700000.0,-392100000.0,-2414900000.0
TOST,2020,Introduction,-125000000.0,-36000000.0,594000000.0
TOST,2021,Growth,2000000.0,-503000000.0,759000000.0
TOST,2022,Introduction,-156000000.0,-98000000.0,38000000.0
TOST,2023,Growth,135000000.0,-86000000.0,63000000.0
TOST,2024,Growth,360000000.0,-39000000.0,18000000.0
CDW,2020,Growth,1314300000.0,-201000000.0,138800000.0
CDW,2021,Growth,784600000.0,-2769600000.0,832800000.0
CDW,2022,Maturity,1335900000.0,-164500000.0,-1102100000.0
CDW,2023,Maturity,1598700000.0,-229600000.0,-1098700000.0
CDW,2024,Maturity,1277300000.0,-659200000.0,-686900000.0
SMCI,2020,Introduction,-30334000.0,-43588000.0,23796000.0
SMCI,2021,Maturity,122955000.0,-58016000.0,-44440000.0
SMCI,2022,Introduction,-440801000.0,-46282000.0,522871000.0
SMCI,2023,Maturity,663580000.0,-39486000.0,-448293000.0
SMCI,2024,Introduction,-2485972000.0,-194248000.0,3911724000.0
HPE,2020,Growth,2240000000.0,-2578000000.0,883000000.0
HPE,2021,Maturity,5871000000.0,-2796000000.0,-3364000000.0
HPE,2022,Maturity,4593000000.0,-2087000000.0,-1796000000.0
HPE,2023,Maturity,4428000000.0,-3284000000.0,-1362000000.0
HPE,2024,Growth,4341000000.0,-53000000.0,6283000000.0
UI,2020,Shake-out,460284000.0,69584000.0,-625398000.0
UI,2021,Maturity,612022000.0,-19266000.0,-485955000.0
UI,2022,Maturity,370259000.0,-11180000.0,-472273000.0
UI,2023,Introduction,-145428000.0,-20934000.0,144964000.0
UI,2024,Maturity,541516000.0,-11975000.0,-518025000.0
SSNC,2020,Maturity,1184700000.0,-210500000.0,-1428100000.0
SSNC,2021,Growth,1429000000.0,-148200000.0,556700000.0
SSNC,2022,Maturity,1134300000.0,-1757600000.0,-1184500000.0
SSNC,2023,Growth,1215100000.0,-268400000.0,712800000.0
SSNC,2024,Maturity,1388600000.0,-855700000.0,-152300000.0
STM,2020,Data Missing,,,
STM,2021,Data Missing,,,
STM,2022,Data Missing,,,
STM,2023,Data Missing,,,
STM,2024,Data Missing,,,
LDOS,2020,Shake-out,992000000.0,65000000.0,-709000000.0
LDOS,2021,Maturity,1033000000.0,-730000000.0,-113000000.0
LDOS,2022,Maturity,992000000.0,-313000000.0,-865000000.0
LDOS,2023,Maturity,1165000000.0,-211000000.0,-715000000.0
LDOS,2024,Data Missing,,,
PTC,2020,Growth,233808000.0,-525972000.0,297410000.0
PTC,2021,Growth,368809000.0,-687859000.0,370264000.0
PTC,2022,Maturity,435326000.0,-201201000.0,-264081000.0
PTC,2023,Growth,610861000.0,-866115000.0,268313000.0
PTC,2024,Maturity,749984000.0,-124814000.0,-650725000.0
OKTA,2020,Growth,55603000.0,-688041000.0,853385000.0
OKTA,2021,Growth,128000000.0,-1305000000.0,1092000000.0
OKTA,2022,Growth,104000000.0,-367000000.0,89000000.0
OKTA,2023,Growth,86000000.0,-130000000.0,48000000.0
OKTA,2024,Shake-out,512000000.0,441000000.0,-883000000.0
